horizon_hours,yes_price_bucket,btc_past_1h_bucket,sample_count,average_yes_change,median_yes_change,yes_up_rate,average_btc_past_1h_return,average_btc_future_return
6,01_0.03_0.08,03_btc_up_0.25_1pct,1274,0.006397174254317102,-0.0015000000000000013,0.2817896389324961,0.004148216144645759,0.0018667126583055411
6,01_0.03_0.08,04_btc_up_gt_1pct,146,-0.007640410958904103,-0.0025000000000000022,0.2054794520547945,0.0119151531077562,-0.0019006565783080858
6,02_0.08_0.20,00_btc_down_gt_1pct,56,-0.008303571428571433,-0.012500000000000004,0.32142857142857145,-0.011009451257756766,0.006406067555411518
6,02_0.08_0.20,01_btc_down_0.25_1pct,1506,-0.00980942895086321,-0.01999999999999999,0.28751660026560427,-0.004288530942919765,-0.0011401437607352915
6,02_0.08_0.20,02_btc_flat,5679,-0.01188272583201271,-0.015,0.29265715795034336,-1.4884032727385863e-05,-0.0005908716626632715
6,02_0.08_0.20,03_btc_up_0.25_1pct,1244,-0.0050956591639871075,-0.010000000000000009,0.3392282958199357,0.0041598187311267226,0.0006677570021624266
6,02_0.08_0.20,04_btc_up_gt_1pct,109,-0.02722477064220185,-0.015000000000000013,0.3669724770642202,0.011926724751466347,-0.0019408475976677964
6,03_0.20_0.50,00_btc_down_gt_1pct,92,-0.02458695652173914,0.0,0.2608695652173913,-0.011005283645925856,0.00426120385747206
6,03_0.20_0.50,01_btc_down_0.25_1pct,2369,-0.026133600675390577,0.0,0.3533136344449135,-0.004205561698434002,-0.0014418126180038506
6,03_0.20_0.50,02_btc_flat,9548,-0.02510091118558843,0.0,0.3515919564306661,-3.356361010160573e-05,-0.0005729428308185952
6,03_0.20_0.50,03_btc_up_0.25_1pct,1932,0.00250905797101451,0.0,0.4192546583850932,0.00410858397109491,0.0018066327674763263
6,03_0.20_0.50,04_btc_up_gt_1pct,154,-0.025444805194805183,-0.015000000000000013,0.15584415584415584,0.011859630228569654,-0.0021173921285034783
6,04_gte_0.50,00_btc_down_gt_1pct,248,0.005415322580645165,0.0015000000000000013,0.5483870967741935,-0.011044985523781494,0.004798856326301901
6,04_gte_0.50,01_btc_down_0.25_1pct,5820,-0.005029037800687278,0.0004999999999999449,0.5008591065292096,-0.004280801067659758,-0.001824339541793051
6,04_gte_0.50,02_btc_flat,24266,0.0007155485040797714,0.000500000000000056,0.5367592516277919,2.9354100921024176e-05,-0.0006250312412721979
6,04_gte_0.50,03_btc_up_0.25_1pct,4868,0.0026039441248973025,0.0014999999999999458,0.6055875102711585,0.0041376470272519675,0.000842361411615477
6,04_gte_0.50,04_btc_up_gt_1pct,402,0.003924129353233835,0.0010000000000000009,0.599502487562189,0.011922195281935149,-0.0019363837402697436
